vintage,cbsa_code,county_fips
2014,15900,17057
2014,15940,39019
2014,15940,39151
2014,15980,12071
2014,16020,17003
2014,16020,29017
2014,16020,29031
2014,16060,17077
2014,16060,17199
2014,16100,35015
2014,16180,32510
2014,16220,56025
2014,16260,49021
2014,16300,19011
2014,16300,19105
2014,16300,19113
2014,16340,13233
2014,16380,39107
2014,16460,17121
2014,16500,53041
2014,16540,42055
2014,16580,17019
2014,16580,17053
2014,16580,17147
2014,16620,54005
2014,16620,54015
2014,16620,54039
2014,16660,17029
2014,16660,17035
2014,16700,45015
2014,16700,45019
2014,16700,45035
2014,16740,37025
2014,16740,37071
2014,16740,37097
2014,16740,37109
2014,16740,37119
2014,16740,37159
2014,16740,37179
2014,16740,45023
2014,16740,45057
2014,16740,45091
2014,16820,51003
2014,16820,51029
2014,16820,51065
2014,16820,51079
2014,16820,51125
2014,16820,51540
2014,16860,13047
2014,16860,13083
2014,16860,13295
2014,16860,47065
2014,16860,47115
2014,16860,47153
2014,16940,56021
2014,16974,17031
2014,16974,17043
2014,16974,17063
2014,16974,17093
2014,16974,17111
2014,16974,17197
2014,16980,17031
2014,16980,17037
2014,16980,17043
2014,16980,17063
2014,16980,17089
2014,16980,17093
2014,16980,17097
2014,16980,17111
2014,16980,17197
2014,16980,18073
2014,16980,18089
2014,16980,18111
2014,16980,18127
2014,16980,55059
2014,17020,06007
2014,17060,39141
2014,17140,18029
2014,17140,18115
2014,17140,18161
2014,17140,21015
2014,17140,21023
2014,17140,21037
2014,17140,21077
2014,17140,21081
2014,17140,21117
2014,17140,21191
2014,17140,39015
2014,17140,39017
2014,17140,39025
2014,17140,39061
2014,17140,39165
2014,17200,33009
2014,17200,33019
2014,17200,50017
2014,17200,50027
2014,17220,54017
2014,17220,54033
2014,17220,54091
2014,17260,28027
2014,17300,21047
2014,17300,21221
2014,17300,47125
2014,17340,06033
2014,17380,28011
2014,17420,47011
2014,17420,47139
2014,17460,39035
2014,17460,39055
2014,17460,39085
2014,17460,39093
2014,17460,39103
2014,17500,12051
2014,17540,19045
2014,17580,35009
2014,17620,72043
2014,17640,72123
2014,17660,16055
2014,17700,20125
2014,17740,26023
2014,17780,48041
2014,17780,48051
2014,17780,48395
2014,17820,08041
2014,17820,08119
2014,17860,29019
2014,17900,45017
2014,17900,45039
2014,17900,45055
2014,17900,45063
2014,17900,45079
2014,17900,45081
2014,17980,01113
2014,17980,13053
2014,17980,13145
2014,17980,13197
2014,17980,13215
2014,18020,18005
2014,18060,28087
2014,18100,31141
2014,18140,39041
2014,18140,39045
2014,18140,39049
2014,18140,39073
2014,18140,39089
2014,18140,39097
2014,18140,39117
2014,18140,39127
2014,18140,39129
2014,18140,39159
2014,18180,33013
2014,18220,18041
2014,18260,47087
2014,18260,47133
2014,18260,47141
2014,18300,41011
2014,18380,13081
2014,18420,28003
2014,18460,13137
2014,18500,36101
2014,18580,48007
2014,18580,48355
2014,18580,48409
2014,18620,48349
2014,18660,36023
2014,18700,41003
2014,18740,39031
2014,18780,08081
2014,18820,18107
2014,18860,06015
2014,18880,12091
2014,18880,12131
2014,18900,47035
2014,18980,01043
2014,19000,37099
2014,19060,24001
2014,19060,54057
2014,19100,48085
2014,19100,48113
2014,19100,48121
2014,19100,48139
2014,19100,48221
2014,19100,48231
2014,19100,48251
2014,19100,48257
2014,19100,48367
2014,19100,48397
2014,19100,48425
2014,19100,48439
2014,19100,48497
2014,19124,48085
2014,19124,48113
2014,19124,48121
2014,19124,48139
2014,19124,48231
2014,19124,48257
2014,19124,48397
2014,19140,13213
2014,19140,13313
2014,19180,17183
2014,19220,21021
2014,19220,21137
2014,19260,51143
2014,19260,51590
2014,19300,01003
2014,19340,17073
2014,19340,17131
2014,19340,17161
2014,19340,19163
2014,19380,39057
2014,19380,39109
2014,19380,39113
2014,19420,47143
2014,19460,01079
2014,19460,01103
2014,19500,17115
2014,19540,18001
2014,19580,39039
2014,19620,48465
2014,19660,12035
2014,19660,12127
2014,19700,35029
2014,19740,08001
2014,19740,08005
2014,19740,08014
2014,19740,08019
2014,19740,08031
2014,19740,08035
2014,19740,08039
2014,19740,08047
2014,19740,08059
2014,19740,08093
2014,19760,22011
2014,19780,19049
2014,19780,19077
2014,19780,19121
2014,19780,19153
2014,19780,19181
2014,19804,26163
2014,19820,26087
2014,19820,26093
2014,19820,26099
2014,19820,26125
2014,19820,26147
2014,19820,26163
2014,19860,38089
2014,19940,17103
2014,19980,20057
2014,20020,01061
2014,20020,01067
2014,20020,01069
2014,20060,13069
2014,20100,10001
2014,20140,13167
2014,20140,13175
2014,20180,42033
2014,20220,19061
2014,20260,27017
2014,20260,27137
2014,20260,55031
2014,20300,48341
2014,20340,40137
2014,20380,37085
2014,20420,08067
2014,20460,40013
2014,20500,37037
2014,20500,37063
2014,20500,37135
2014,20500,37145
2014,20524,36027
2014,20524,36079
2014,20540,47045
2014,20580,48323
2014,20660,24041
2014,20700,42089
2014,20740,55017
2014,20740,55035
2014,20780,08037
2014,20820,17049
2014,20900,48481
2014,20940,06025
2014,20980,05139
2014,20994,17037
2014,20994,17089
2014,21020,37029
2014,21020,37139
2014,21020,37143
2014,21060,21093
2014,21060,21123
2014,21060,21163
2014,21120,40009
2014,21140,18039
2014,21180,54083
2014,21220,32007
2014,21220,32011
2014,21260,53037
2014,21300,36015
2014,21340,48141
2014,21340,48229
2014,21380,20111
2014,21420,40047
2014,21460,01031
2014,21500,42049
2014,21540,26041
2014,21580,35039
2014,21660,41039
2014,21700,06023
2014,21740,56041
2014,21780,18129
2014,21780,18163
2014,21780,18173
2014,21780,21101
2014,21820,02090
