Survey,CSA,CBSA,MONCOV,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202399,350,31140, ,Louisville-Jefferson County  KY-IN ,2914,2914,902352,49,98,16694,13,47,6666,127,3672,517432,2708,2708,848350,48,96,16213,12,44,6233,123,3557,475055
202399,352,31180, ,Lubbock  TX ,1952,1952,468636,13,26,2811,0,0,0,49,536,58356,1939,1939,466320,11,22,2223,0,0,0,49,536,58356
202399,356,31420, ,Macon-Bibb County  GA ,547,547,141140,0,0,0,0,0,0,4,20,3433,137,137,35344,0,0,0,0,0,0,4,20,3433
202399,356,47580, ,Warner Robins  GA ,1167,1167,314524,1,2,117,0,0,0,20,676,79374,951,951,268735,1,2,117,0,0,0,20,676,79374
202399,357,27500, ,Janesville-Beloit  WI ,223,223,61930,29,58,12645,0,0,0,4,32,8000,223,223,61930,29,58,12645,0,0,0,4,32,8000
202399,357,31540, ,Madison  WI ,1534,1534,677548,102,204,55919,24,95,33562,69,3528,529020,1519,1519,672566,100,200,54701,24,95,33562,68,3517,527288
202399,359,31860, ,Mankato  MN ,156,156,49102,1,2,200,0,0,0,13,403,57428,135,135,40766,1,2,200,0,0,0,13,403,57428
202399,360,31900, ,Mansfield  OH ,110,110,37108,5,10,1448,4,12,1143,0,0,0,85,85,29157,2,4,715,0,0,0,0,0,0
202399,365,32580,C,McAllen-Edinburg-Mission  TX ,4143,4143,998643,235,470,31815,421,1659,167237,96,627,62028,3938,3938,963735,222,444,29343,393,1551,156709,95,609,60937
202399,366,24420, ,Grants Pass  OR ,172,172,43996,5,10,2469,3,11,1977,2,16,3150,148,148,39175,5,10,2469,3,11,1977,2,16,3150
