NAME,B19013_001E,B01003_001E,B01002_001E,B15003_022E,B15003_023E,B25003_001E,B25003_002E,B25077_001E,metropolitan statistical area/micropolitan statistical area,metropolitan division,geo_level,geo_code,parent_cbsa,year
"Clarksville, TN-KY Metro Area",53027,299470,31.1,29759,12517,109408,64272,154600,17300,,msa,17300,,2019
"Clearlake, CA Micro Area",47040,64195,45.6,4659,1728,25660,17034,219400,17340,,msa,17340,,2019
"Cleveland, MS Micro Area",29854,31848,35.6,3005,1315,12111,6491,96100,17380,,msa,17380,,2019
"Cleveland, TN Metro Area",49921,122563,40.3,11002,4604,47575,31785,156300,17420,,msa,17420,,2019
"Cleveland-Elyria, OH Metro Area",56008,2056898,41.3,272279,125137,861912,559157,151600,17460,,msa,17460,,2019
"Clewiston, FL Micro Area",40820,40732,34.0,1371,623,12527,8185,94500,17500,,msa,17500,,2019
"Clinton, IA Micro Area",51688,46909,42.2,4037,1288,19635,14385,118100,17540,,msa,17540,,2019
"Clovis, NM Micro Area",45092,49732,31.5,3915,1578,18548,10576,125000,17580,,msa,17580,,2019
"Coamo, PR Micro Area",19692,38906,41.7,4591,1052,13104,10121,90700,17620,,msa,17620,,2019
"Coco, PR Micro Area",18189,28109,40.9,2588,586,10036,8049,83100,17640,,msa,17640,,2019
"Coeur d'Alene, ID Metro Area",57242,157322,40.2,18175,6826,62304,43861,260300,17660,,msa,17660,,2019
"Coffeyville, KS Micro Area",45157,32521,40.3,3043,926,13576,9337,76200,17700,,msa,17700,,2019
"Coldwater, MI Micro Area",51947,43513,41.2,3048,1059,16650,12358,109800,17740,,msa,17740,,2019
"College Station-Bryan, TX Metro Area",50240,258029,27.8,29395,13716,92666,47650,186800,17780,,msa,17780,,2019
"Colorado Springs, CO Metro Area",68687,723498,34.6,110796,55390,267755,173128,275700,17820,,msa,17820,,2019
"Columbia, MO Metro Area",54808,205369,32.1,30789,14212,80487,46627,175400,17860,,msa,17860,,2019
