NAME,B19013_001E,B01003_001E,B01002_001E,B15003_022E,B15003_023E,B25003_001E,B25003_002E,B25077_001E,metropolitan statistical area/micropolitan statistical area,year
"Maryville, MO Micro Area",59315,20774,33.7,2009,1124,8460,5270,177500,32340,2024
"Mason City, IA Micro Area",68926,49982,44.0,5701,2023,22716,16389,162900,32380,2024
"Massena-Ogdensburg, NY Micro Area",62850,107226,39.3,9261,6481,41666,29945,121900,32390,2024
"Mayagüez, PR Metro Area",21163,209892,46.2,31000,7414,84172,53976,114200,32420,2024
"Mayfield, KY Micro Area",50772,36630,40.4,2577,1450,14139,10755,147800,32460,2024
"McAlester, OK Micro Area",55310,43561,40.6,4013,1655,17851,12752,156900,32540,2024
"McAllen-Edinburg-Mission, TX Metro Area",54338,891977,30.5,72515,25290,270210,182271,140900,32580,2024
"McComb, MS Micro Area",44597,53441,38.9,3119,1626,20297,14270,115600,32620,2024
"McMinnville, TN Micro Area",55487,42166,39.8,2674,1100,16203,11738,192900,32660,2024
"McPherson, KS Micro Area",78851,30205,39.4,4498,1779,12162,9179,211200,32700,2024
"Meadville, PA Micro Area",60476,82716,44.0,7744,3697,33838,25276,153200,32740,2024
"Medford, OR Metro Area",73999,222645,42.8,31660,12721,92035,60693,430200,32780,2024
"Memphis, TN-MS-AR Metro Area",66401,1341924,36.8,167636,78327,522879,316353,245900,32820,2024
"Menomonie, WI Micro Area",74824,45527,36.1,5401,2279,17440,11693,243200,32860,2024
"Merced, CA Metro Area",65510,290201,31.8,18484,5816,86055,46474,391800,32900,2024
"Meridian, MS Micro Area",49822,86818,40.2,8311,3528,34652,23581,128100,32940,2024
"Mexico, MO Micro Area",59448,24548,40.2,1750,896,9219,6619,143100,33020,2024
"Miami, OK Micro Area",49947,30341,37.2,2023,670,11921,8051,123300,33060,2024
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",76527,6249291,41.8,1012613,421045,2334797,1413047,443300,33100,2024
"Michigan City-La Porte, IN Metro Area",71055,111917,41.1,11975,4581,43633,32614,195500,33140,2024
"Middlesborough, KY Micro Area",31354,23509,41.7,1590,640,9939,5847,89000,33180,2024
"Midland, MI Metro Area",77705,83757,41.8,13117,6366,34993,27322,195400,33220,2024
"Midland, TX Metro Area",92952,180019,32.9,23935,8286,69624,47289,309400,33260,2024
"Milledgeville, GA Micro Area",54403,43642,36.5,3628,1892,16582,10125,181900,33300,2024
"Milwaukee-Waukesha, WI Metro Area",78218,1568938,38.7,277001,108983,656436,396385,306400,33340,2024
"Minden, LA Micro Area",41182,35820,41.1,2305,771,14334,9581,114500,33380,2024
"Mineral Wells, TX Micro Area",67674,29295,41.6,2478,949,11234,7978,198000,33420,2024
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",99833,3713668,38.0,746981,290803,1477259,1044794,374000,33460,2024
"Minot, ND Metro Area",78200,76484,34.2,9908,3389,31781,19954,254000,33500,2024
"Missoula, MT Metro Area",74989,125631,37.5,24693,10454,54829,32722,466400,33540,2024
"Mitchell, SD Micro Area",69101,25808,39.5,2909,651,10977,7226,197700,33580,2024
"Moberly, MO Micro Area",53033,24365,40.0,2236,725,9247,6601,159300,33620,2024
"Mobile, AL Metro Area",58880,412590,38.5,46976,19053,161665,106752,190700,33660,2024
"Modesto, CA Metro Area",81468,553990,34.9,47465,15085,177874,108828,450100,33700,2024
"Monroe, LA Metro Area",51660,223674,38.0,22615,10039,87006,55646,170300,33740,2024
"Monroe, MI Metro Area",77335,155505,42.8,16378,7515,63029,51502,228900,33780,2024
"Montgomery, AL Metro Area",64010,386024,38.0,46875,25479,151438,99054,191900,33860,2024
"Monticello, IN Micro Area",67303,24717,42.8,2416,728,10254,8306,175900,33900,2024
"Monticello, NY Micro Area",72382,79721,41.7,9641,5448,31434,21178,249000,33910,2024
"Montrose, CO Micro Area",72120,43807,46.1,5659,2604,18069,13623,388400,33940,2024
"Morehead City, NC Micro Area",72322,69148,50.5,11500,5002,31977,23885,333300,33980,2024
"Morgan City, LA Micro Area",52576,47828,39.7,3098,1183,18463,12673,138900,34020,2024
"Morgantown, WV Metro Area",64640,141323,35.1,17625,11897,57438,36256,233000,34060,2024
"Morristown, TN Metro Area",60553,122533,41.8,10739,4665,47963,34781,218100,34100,2024
"Moscow, ID Micro Area",65424,41049,30.6,6407,2468,16270,9549,368600,34140,2024
"Moses Lake, WA Micro Area",73267,101799,33.7,8137,2571,35398,23461,299500,34180,2024
"Moultrie, GA Micro Area",49341,46224,37.2,2452,1576,16803,10708,121400,34220,2024
"Mountain Home, AR Micro Area",48452,42407,51.4,4551,1185,19348,14549,174600,34260,2024
"Mountain Home, ID Micro Area",65359,29321,33.1,2986,932,11067,7259,316500,34300,2024
"Mount Airy, NC Micro Area",55656,71425,43.8,6762,2916,29869,21930,177600,34340,2024
"Mount Pleasant, MI Micro Area",55237,64565,30.1,6487,3423,24914,15406,170400,34380,2024
"Mount Pleasant, TX Micro Area",58626,56237,37.4,4532,1448,20868,15226,163800,34420,2024
"Mount Sterling, KY Micro Area",55208,47476,40.4,3388,1861,18181,12898,151900,34460,2024
"Mount Vernon, IL Micro Area",63118,36550,41.2,2946,1292,14820,10623,126000,34500,2024
"Mount Vernon, OH Micro Area",73878,63142,39.4,6365,2903,23491,17739,239400,34540,2024
"Mount Vernon-Anacortes, WA Metro Area",89263,131328,42.1,17428,8157,52329,36664,545100,34580,2024
"Muncie, IN Metro Area",58127,112280,35.8,10683,5654,46256,30751,139400,34620,2024
"Murray, KY Micro Area",52706,38224,35.9,4174,2484,15239,9738,183200,34660,2024
"Murrells Inlet, SC Micro Area",68713,64811,52.2,10380,4039,27129,22776,289500,34680,2024
